Sector,Enterprise Value Multiple
Communication Services,185.7420557863064
Consumer Discretionary,16.781522384507692
Consumer Staples,11.24802808321602
Energy,8.211420234363167
Financials,13.641084523553193
Health Care,18.213245506329063
Industrials,20.839523238424583
Information Technology,2.0436441373401264
Materials,12.910772369479924
Real Estate,22.938488831892272
Utilities,12.216412787156031
