,returns
0,0.6619354838709678
1,0.04819277108433721
2,0.36630036630036633
3,0.025022341376228878
4,0.13842746400885936
5,0.7058823529411765
6,0.2616459627329192
7,-0.18092307692307688
8,0.03305785123966938
9,0.2138181818181819
10,0.18394248052726184
11,0.09311740890688258
12,0.1759259259259258
13,-0.11181102362204724
14,0.24113475177304972
15,0.2732142857142857
16,-0.05497896213183733
17,-0.2467700258397933
18,0.07714150496923818
19,0.5071927661323471
20,0.41341696209435497
21,0.3829787234042552
22,-0.19469496021220153
23,0.061923583662713944
24,-0.27105575326215897
25,0.1930638391870995
26,0.0019903721533049753
27,-0.012981013535362879
28,0.11138411138411133
29,0.11844331641285959
30,0.251716247139588
31,-0.20208333333333328
32,0.8882235528942118
