,returns
0,0.7504263786242182
1,0.11856823266219245
2,-0.09712230215827339
3,-0.10185185185185185
4,0.152317880794702
5,0.3160690571049137
6,0.5610494450050455
7,0.29831932773109243
8,0.08013062044712378
9,0.06782608695652169
10,-0.03681392235609096
11,0.36206896551724155
12,0.1863787375415282
13,0.13317811408614666
14,0.10996119016817595
15,0.633249791144528
16,0.2501278772378517
17,-0.006674519042010136
18,0.09631728045325788
19,-0.0006178560395426637
20,0.013513513513513466
21,0.03249299719887945
22,0.409795918367347
23,0.2943196451566747
24,0.056077904633982434
25,-0.24705882352941178
26,0.3990228013029317
27,0.028842105263157843
28,-0.018245004344048573
29,-0.16045702930948835
30,0.08092777007437289
31,0.13341677096370458
32,0.26990386985457243
