,returns
0,0.10995850622406625
1,0.5121495327102804
2,0.6551724137931035
3,0.25595238095238093
4,0.48815165876777267
5,0.7022292993630572
6,0.5136518771331056
7,0.32347826086956527
8,0.27960526315789475
9,-0.14456035767511174
10,0.5034843205574914
11,-0.18614718614718617
12,0.2180851063829786
13,0.05637813211845114
14,0.04592314901593254
15,0.13888888888888895
16,0.014090708938793495
17,-0.3701201201201201
18,0.16233766233766223
19,0.26001618777822744
20,0.1418624891209748
21,0.4186265286923802
22,0.49933687002652505
23,0.10682791635172594
24,0.43529411764705883
25,0.6764705882352942
26,0.35294117647058815
27,0.13243761996161235
28,0.20847457627118635
29,-0.13464235624123422
30,0.030794165316045445
31,-0.089622641509434
32,0.07593323216995441
