,returns
0,0.75
1,0.21501706484641633
2,-0.03846153846153854
3,0.2539184952978057
4,0.09603658536585379
5,-0.09596662030598058
6,0.13222222222222216
7,0.3154602323503129
8,-0.30613254203758655
9,0.3029223093371349
10,0.1050328227571115
11,0.12355848434925865
12,0.7567175018155412
13,0.18375033629270912
14,-0.05545217714923714
15,0.22922804949911613
16,-0.4572930354796321
17,-0.4988052568697729
18,0.781609195402299
19,0.35353535353535354
20,0.11413043478260874
21,0.2745454545454545
22,0.24346405228758172
23,0.08834586466165409
24,-0.04870466321243524
25,0.13373860182370817
26,-0.24538809606682913
27,0.06133700895933843
28,0.31396083385976
29,0.05400372439478582
30,0.20218579234972672
31,0.634065934065934
32,0.09205776173285195
