,returns
0,0.04132231404958678
1,0.3684210526315789
2,-0.2972972972972973
3,0.32142857142857145
4,0.46666666666666673
5,0.08272058823529398
6,-0.05078125
7,-0.06202143950995409
8,0.11432926829268293
9,0.648780487804878
10,0.29524680073126147
11,0.12764997744700035
12,0.13178294573643415
13,0.335928809788654
14,0.23296278395360076
15,0.4304194433555468
16,-0.04872204472843446
17,-0.3213437393959959
18,0.24750000000000005
19,0.07036713286713285
20,0.35303836974481373
21,0.17547368421052623
22,0.1926121372031661
23,0.8661504424778764
24,-0.12663034136218865
25,1.1090909090909091
26,0.021834061135371178
27,0.3541284403669724
28,0.2014814814814814
29,0.11009174311926606
30,0.029635901778154075
31,-0.2333767926988266
32,-0.031833150384193105
