,returns
0,1.3245901639344264
1,-0.13003901170351104
2,0.1789473684210528
3,0.09893992932862183
4,0.047619047619047665
5,0.5851755526657996
6,0.6178861788617886
7,-0.10299999999999994
8,0.004219409282700331
9,0.5276073619631902
10,0.07737232116788323
11,-0.07726266556291385
12,0.1279475982532751
13,0.1330472103004293
14,0.09361471861471864
15,0.1658628081457663
16,0.5263157894736842
17,0.30170316301703143
18,0.06626506024096392
19,0.23568464730290453
20,-0.23794089609151578
21,0.12394366197183095
22,0.22890295358649787
23,0.11613774476704933
24,0.49717514124293777
25,0.08958009331259728
26,0.11006585136406395
27,-0.16939890710382516
28,0.13586097946287526
29,-0.07178631051752916
30,0.131884652179855
31,-0.26129943502824854
32,0.17451274362818592
